id_user_anon,dim_language,dim_country,ts_first_verified
ae597cf3-5746-401d-8f01-be33b925127d,en,GB,-unknown-
87f7540f-ec46-4ea6-a48a-ec110c77a5b5,fr,ES,-unknown-
68aacb12-9e3d-4557-ab3d-4339ebccea8c,es,AR,-unknown-
c579ab4d-8652-4d70-9358-fc174cc6cda6,it,IT,2013-10-28 12:40:03
e79aa27a-c00e-4d7a-8e49-f4aa50081603,en,US,2013-11-13 10:19:32
3e89d6bb-e617-4d0a-8b7a-ff0b804f17fc,en,NZ,-unknown-
49553e17-2a8e-494c-8f1e-cf205ce43606,en,US,2015-02-24 21:39:07
f3fe11ee-4aec-40d9-9e6e-ba48a5917b75,es,ES,-unknown-
6e22033b-442c-412f-846f-c6c8832a1470,en,US,-unknown-
4dc874dd-24ce-406a-99c4-99c99e7e6c07,ru,RU,2013-10-14 13:21:22
13336b01-1ccd-4135-92f5-37fa25a10619,en,US,2014-04-24 14:43:40
79d427ea-d659-431b-9747-0a92664d1f51,es,VE,-unknown-
70a0fdf6-2a5f-4b73-beb1-8fcb01eb3b03,en,HK,-unknown-
d094fd12-db97-49bc-b6f6-bab62b37f3ad,fr,CH,2013-11-25 08:41:34
a8bbc973-5147-4527-9382-7f1d8c405c17,it,IT,2013-11-13 10:33:29
b62ce0f2-70d4-498b-97c5-026c5d4d3e2d,en,US,2014-06-01 23:14:46
4e47c12d-8fe1-45ad-80d1-8f76e6b18542,en,US,2014-10-08 23:20:44
5f8fc13e-7cac-4b88-9d99-b9261295ba49,en,NL,-unknown-
7695d662-cbcf-4a5d-b981-37c2ffb374c2,en,US,2013-10-20 23:09:39
473845f8-5ff5-4363-b3fe-1434f7b9084b,en,GB,-unknown-
a6508b39-946f-49a3-9610-f99f6a5d831f,en,US,-unknown-
097c202d-e610-4047-980e-5d304f032a22,en,US,-unknown-
4f2a370e-7150-4b1f-90c2-474b72d55d28,en,US,2014-01-14 18:12:27
0d357c1a-1a16-4f9b-9c86-bc2c14546813,en,US,-unknown-
d4c7866c-7807-408c-995f-8c6a60d83ff2,es,ES,-unknown-
47de828e-1faf-4023-840e-213cb527de5a,en,US,-unknown-
dc432c32-7ad4-4809-ad54-9c9c5b5b41b8,en,US,2013-11-13 10:48:41
089d1589-5787-4ece-bcae-8e81a6a0dd73,en,US,2013-10-17 08:09:24
2ba20f3f-c8b2-4b40-b47d-cf45c7340dc2,en,HU,2014-05-20 18:42:12
3e73866b-e89d-4aff-9b54-6fb70668fa1d,en,US,2014-01-28 18:46:28
29dfb5e2-feff-4cc9-b018-7b1a544ed68d,en,CA,2013-11-13 10:52:41
16993899-3685-46a4-bab6-c2ce774cb5f3,es,ES,2014-07-23 23:57:29
ca0fbc21-e110-4af5-a244-a71aac194095,es,ES,-unknown-
1794b394-424e-4497-b4e3-185a3e7b1829,es,AR,2014-04-02 12:16:34
4b446781-63ea-44e5-b437-617960312a41,en,US,2013-12-01 16:10:11
1b70d792-996d-4adb-b9fd-49abc55be405,en,JP,-unknown-
c4591207-fd93-4fb4-947f-bca495cf0dd2,es,ES,-unknown-
cc2d2845-b07d-4405-810a-e678a60cd6eb,en,NL,-unknown-
020a0842-673c-4a85-8fd0-cdaa7f6e7989,fr,FR,-unknown-
6fda2b3f-2ac0-4479-a4c3-d03b6eb1d0e6,es,ES,-unknown-
f89c1b64-3dff-4c6a-b18d-e3503d79bfa3,fr,FR,-unknown-
1c0331e7-0278-42f1-96f9-c77526ce0742,es,ES,-unknown-
adf80113-6bbf-4160-8a2d-9fa5ca122dbd,en,US,2013-11-22 23:04:47
62ecd910-f079-48bf-8108-44419146a736,fr,FR,-unknown-
f77c060f-e2e4-4985-a7fe-a981efeab532,en,US,-unknown-
f8fe8a81-41ca-4ca7-91a9-014c65c6d429,es,ES,-unknown-
2e8cb371-0ea8-49ba-9d78-24945b554bd2,en,US,2013-11-13 11:12:22
e00584ee-71dc-4f29-94db-197dd3f03c9d,en,US,2014-08-13 22:09:15
11b6f3a4-d35c-4282-a234-84e02a6c8e52,es,ES,2013-11-13 11:13:57
ed054799-1ac6-4acc-9cc4-c32e94eefb99,fr,FR,2014-08-29 09:02:34
60c17894-61de-495d-8f29-a1c2eff99812,es,ES,-unknown-
be0524d1-9d47-4b98-a481-b2af84eba1a8,es,ES,2013-10-15 07:55:45
778a896a-8980-4e85-83f4-48ff3f2f1a0b,pt,PT,2014-05-06 15:58:54
b454a18c-8b18-4c8c-9af9-42dfb929a264,en,US,-unknown-
d9b47ce1-fe88-4630-9783-6f9be2aea91e,en,RU,2014-04-14 06:41:49
39b23a17-efa8-4775-87b0-57522559ec1f,en,GR,2014-02-26 09:21:20
dfcc4ded-6db2-4030-8fba-eadef1e1c384,en,ES,2014-01-01 16:31:23
a7999a29-7a3f-4ba4-93ca-4a37881ef7b9,en,HR,2014-04-13 16:02:00
1d0bab34-e7de-497d-a1e7-b5ec3e7623a9,en,US,2014-01-10 02:17:38
d24c8535-c2cd-461d-880c-87aec8414fb8,es,ES,-unknown-
1634e434-a309-46a6-b52a-609c926324e2,en,IL,-unknown-
4b6d9fb1-0735-4315-9b59-823cd02c0c04,es,ES,-unknown-
a7126e82-880d-4c66-901e-45961c13d5af,en,US,-unknown-
74edd1b9-d891-473c-915c-0ff426e0d4db,es,ES,2014-07-25 19:53:40
f9f3bb1f-bbee-4f51-a72f-3288711a90ac,en,VN,-unknown-
dc0f976a-234d-48c6-8b2f-7a6018fa3c97,en,US,2014-04-02 02:04:45
4e09744a-2cf6-4876-8779-efaaa68dd6a9,it,IT,-unknown-
687c2a0b-d5a0-499f-b001-89a8c226da78,es,ES,-unknown-
da525b53-151f-4ae9-bf60-02ad26964a79,it,IT,-unknown-
8457131c-4ed5-490a-b10e-f43f98261d27,en,AU,2013-11-13 11:33:24
9db84f1e-5b02-41f7-90fd-83c75f054d0c,en,IT,-unknown-
6bc1bfd9-d740-43a4-9370-df2fd4e08107,ru,RU,2013-11-13 11:34:21
122d996a-f78b-4815-82d3-530e1c7070cc,en,ES,2013-10-15 10:56:30
8805f243-8ee4-43d7-8d66-4ec706bca4fe,es,ES,-unknown-
1dafa46d-46fb-4ec6-bb66-4c01c8a71636,es,ES,-unknown-
f11b550f-6db6-45b2-a03d-01d07e9310a6,es,ES,-unknown-
ebea97d4-5110-4d6b-a875-3b6a8a58d860,en,US,2015-01-26 01:14:49
0f467278-250f-4348-961d-074feb770b6e,en,GB,2013-10-15 10:44:32
5fde8eb4-61e6-4a57-b88d-db7223f58acd,ko,KR,-unknown-
4a13758d-5698-4649-acaf-318a0943fb8d,en,US,2013-11-13 11:38:38
d4c9cc2c-51de-4df0-b748-d0ec1bb7d723,en,US,-unknown-
f2647abd-8ffe-42fe-9d3a-c3a4c9f12c7a,es,ES,-unknown-
24d6a593-38e0-4f56-95bf-7087f32b3855,en,US,-unknown-
99b5bb1c-0b81-477d-a12a-c9c8c5221455,en,US,2014-01-22 05:58:24
09728e44-ef6d-4a0c-ab55-b5390ddfc43c,en,US,-unknown-
42d9d902-ad99-4b37-b851-4ea69fd143b5,en,IL,-unknown-
686e95fe-bf5c-4f62-a9f2-6bcd4f815ab1,en,AU,2014-09-10 07:08:35
22906bcc-37cc-4783-89e3-912080237029,fr,FR,2013-11-13 11:44:40
fa68dcd0-9d3d-4433-b5a9-bbca85460933,en,US,2013-11-13 11:45:09
587f21f4-ab6d-4016-a4fd-a5a98f94ce31,fr,ES,-unknown-
b56e25d7-d7a3-4fdc-ab3c-f0497f05d00e,es,ES,2013-11-13 11:47:43
7316eaa2-7133-4493-8b7d-5a24b23f5650,en,US,2013-10-17 08:30:33
a1c7ed89-fe51-4c95-83bb-cac4e372adfa,en,DE,2013-11-27 21:56:57
32d32ed6-1537-41b3-9816-caad4e70d2f9,en,US,-unknown-
b6c53f76-2867-49d8-b8cb-af6bbff69309,en,US,2014-01-19 23:02:22
8103cf55-aa55-47d9-9efc-bfbe43caf94f,en,US,2014-05-13 19:57:09
f324aab3-ed36-4e6f-9399-be312dcfb066,en,US,2013-10-28 07:44:35
bba46b5e-1e98-40c9-a21d-3b91e614b756,en,US,2014-06-23 10:42:48
0db97f93-26b8-40f3-af58-7c3af93ef93c,en,ES,2013-11-13 11:52:20
6cea53a1-15a3-4cde-b707-084911c2782a,fr,FR,-unknown-
78350020-07da-4ff9-8610-730db57a3c2b,en,US,-unknown-
a7c7ead7-8762-4178-bc05-e821a0867412,de,DE,2014-09-30 14:31:21
acfde6e4-581b-432d-9391-b2e83893f7f8,en,US,-unknown-
9c8c9a42-00c9-4865-af53-6c9bcca7aa0d,en,AU,2013-10-30 11:32:13
320a120f-b05e-469e-9a0a-df0ff3fb09c2,es,ES,2014-08-11 15:50:41
f4b3b2c9-c83c-4fb2-80ce-d2a2c038f2ae,fr,FR,-unknown-
f400ecf5-ba29-4a69-99b3-2e6f876b6230,it,IT,2014-01-24 08:27:47
0d6608c9-a15b-4613-b3a5-a40fee9d5df0,en,ES,-unknown-
b396c169-762e-4f1c-a406-1344305c5448,en,GB,2014-06-23 12:27:14
e996827a-6476-4f40-a28d-3af668becdb2,en,AU,2013-11-13 12:02:16
d5a2e790-628c-477f-9ed9-6020cc76353f,en,AU,-unknown-
7c3466d4-c3d4-4aa1-b912-a7a5077af043,en,US,-unknown-
7717e234-3433-4af5-9c89-06cca700e02f,en,US,2014-03-21 00:06:14
999fb65d-a9d9-475a-9dc3-96cd6d06d8a6,en,US,-unknown-
00f3b85c-bbbc-4280-af64-ce40f6871cc4,fr,DZ,-unknown-
934f0b34-811e-4e93-81f6-cf1e0423972a,it,IT,-unknown-
bf3ec0b8-4eee-446d-bf16-7697f7b78071,en,US,-unknown-
57359231-776f-4fb8-b959-aa3c3e903fd2,es,ES,-unknown-
0798cd47-6708-4299-aca6-2296fd411021,en,GB,-unknown-
ab17d647-b192-4775-bd8d-8f5b75823ca9,en,CA,-unknown-
d020f976-f459-4dcb-834a-c6b332edfd39,en,MY,-unknown-
a79d3f2c-d709-4b21-8bd3-dee7cd490363,es,AR,2014-07-19 00:19:29
3e94bb6e-04d2-4fa3-8096-50c8892b916d,es,ES,-unknown-
54f64097-e73d-4355-b53e-06e5feba7a40,en,CA,-unknown-
0c9b765b-14f7-430d-9848-3c11e07a7f96,en,US,2014-10-21 04:39:33
2ebd5f81-766e-4e27-8eb6-0468f9259038,en,US,-unknown-
f5a24420-2ece-4e6d-8d57-b848041b1f9f,pl,PL,-unknown-
73c200cd-7a89-4df4-9157-fd0751cba034,es,ES,2014-03-08 12:44:59
050cf539-81f8-49ed-80da-bdd389778c07,en,US,2014-06-30 16:20:18
8f2a65f2-1c53-4c9f-b9d8-3f4662715833,es,ES,2015-01-08 18:23:25
9074977a-e23a-4887-8d94-7ee6081efee7,en,GB,2013-10-24 10:45:15
42740af4-72e3-4b60-8ae6-85f787c6a737,en,US,-unknown-
42209cad-8fa2-423a-83c7-684b45ee15b2,en,RU,-unknown-
dc534bb5-8171-46f1-8577-dc3fe57c5855,fr,NL,-unknown-
f7214d08-dcf8-4e36-94d5-3c721e23a01a,es,ES,-unknown-
bcf9c164-199b-40b4-904e-d1dee0abed8e,en,US,2015-01-17 21:53:04
4cf6f40a-5b26-4f44-8906-7daa4b37fa62,es,ES,-unknown-
bc3715eb-78b4-44f7-86a2-5fa22450e2df,en,US,-unknown-
333aef9c-590c-47f0-98e9-467dea5430fc,en,US,2013-11-13 12:35:40
99b0ac05-39f0-45fd-a2b2-93646ff5052a,en,US,2014-03-04 03:07:55
1a52d570-c77e-4b17-8ee8-013b132820ff,en,CZ,2013-11-22 15:02:20
cd0fb239-1cad-4575-b3cb-ee15d6a72921,en,TR,-unknown-
20352693-f4fc-4181-a509-c481a55b5391,en,CA,-unknown-
6afca5de-9b1c-4d44-8a4e-43aac4113706,en,US,2013-11-26 15:37:57
158b2a00-dd02-4164-ac53-a490e4fa0232,es,ES,2013-11-13 12:40:58
506c604d-8693-42f1-b681-5f7f9a8dcd77,en,US,2014-05-30 00:50:01
408d4a4f-b853-4f1b-b45a-1aff116e95cc,en,BE,2014-07-10 17:33:04
26dabf9a-f2f0-4fac-807f-3810be95be44,en,ES,2014-02-20 22:58:50
dad18680-c35e-443f-88dc-be972bf70463,en,FR,-unknown-
d322b1f7-d6f2-4888-9027-a1f7093306ae,es,FR,2013-11-13 12:45:22
9a8990f5-e6d9-4b66-a1ca-bb5db25117b8,es,ES,2014-04-11 12:47:32
5f44f43b-0138-4c33-b4ae-c6949ca94121,en,US,-unknown-
46eaf51a-6153-4076-a2c4-2f0ce208fa1d,en,AU,-unknown-
a917279b-8aa9-4075-b664-0414f235fb54,es,ES,-unknown-
476a88ae-2aaa-4902-b8d0-807903b2ad90,en,FR,2013-11-13 12:52:37
798fa2f9-4491-4a6c-ad93-d36e885da6d0,en,TR,-unknown-
c92740b8-cbb5-4694-9553-ef494a6c3ca5,es,ES,-unknown-
be0512af-c5a9-4a3a-be68-92c6ff27988d,en,GB,2013-11-13 12:55:31
1fb6607d-7e0c-4340-8afc-f0fa72912a30,en,IL,-unknown-
db33284a-29b9-45b3-8106-952c01d24013,en,US,-unknown-
eb1320e4-efcd-4bc8-816a-41c1f28fcf0d,es,ES,2014-05-08 15:19:35
9bae8cd3-5f67-4108-890e-b8430b61bba8,en,US,2013-11-13 12:57:50
2beec72c-bf7e-4ffb-8a2a-4a9b577e2a80,en,CA,-unknown-
90dd7150-85ef-4610-b05e-ff7627a5d94b,en,US,-unknown-
37344791-d523-464c-bce5-0812b6f87e79,de,ES,-unknown-
148e8da6-7746-491e-b8a1-956f9240be8d,de,DE,2014-11-05 14:06:59
4d5634bf-2864-4d64-9912-3b2f14c10e2a,en,AU,-unknown-
bf5cd5fa-f27f-418b-adb7-2c3e374656bc,en,US,2013-11-14 18:07:45
c0a81dad-36fc-470d-8419-43740bd6a41e,en,IT,-unknown-
0770914a-884e-4960-899d-62df66a35ef1,fr,FR,2013-12-14 12:19:17
4686ae17-fa38-4045-9a8f-f067f1bb5352,es,AR,-unknown-
c7ba0396-1b97-42d3-8aed-b44011f9f3dd,de,CH,2013-11-13 13:10:54
a297f478-58bc-4881-88c8-77fcd3021253,es,ES,-unknown-
fb0ae49b-6286-4746-8958-5622d85a1241,en,ES,-unknown-
46ae256e-5754-49c7-9e8c-ca0a94afb720,en,US,-unknown-
55212e4b-3f94-4835-a690-2dc156543f3b,en,US,2013-11-13 13:13:31
be0ea84e-cd4e-4c4f-926e-83327595c3e0,es,ES,-unknown-
e6890248-22b3-49d5-9652-9235ff513b5b,en,US,2014-09-19 04:43:29
003466ea-cbc3-473a-9d4d-6152bc393e23,en,US,-unknown-
5e01914e-abe5-475a-97b6-2c37c1de074a,es,ES,-unknown-
db0415b9-0916-48a8-bbd1-be570d0d44e8,en,CA,2013-11-13 13:15:51
148125d2-514c-449f-b560-a77937cba013,fr,FR,-unknown-
cd361a74-9846-41ec-925b-ced0d999aa0b,en,US,2014-03-30 15:26:30
48d995c3-4e14-4154-bfe0-f76f4769a096,de,DE,2014-01-30 21:26:16
1e2d7831-9655-4940-80ef-6bfd8c97fe45,fr,FR,-unknown-
